"Country","Age group","Gender","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Data as of","Outbreak identifier","Display Value","Numeric","Low","High","Comments"
"Sierra Leone","","","","Number of cases","Probable","Situation report","01 to 07 February 2016 (2016-W05)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Confirmed","Situation report","03 to 09 August 2015 (2015-W32)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Probable","Situation report","07 to 13 April 2014 (2014-W15)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Probable","Patient database","10 to 16 February 2014 (2014-W07)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Confirmed","Patient database","01 to 07 February 2016 (2016-W05)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Probable","Situation report","23 to 29 March 2015 (2015-W13)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BO","Number of cases","Confirmed","Situation report","28 March to 03 April 2016 (2016-W13)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Patient database","28 March to 03 April 2016 (2016-W13)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BO","Number of cases","Probable","Patient database","07 to 13 December 2015 (2015-W50)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KENEMA","Number of cases","Probable","Situation report","01 to 07 September 2014 (2014-W36)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KENEMA","Number of cases","Confirmed","Patient database","28 July to 03 August 2014 (2014-W31)","New","Data package 2016-05-11","","","42","42.00000","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Probable","Patient database","17 to 23 August 2015 (2015-W34)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Patient database","18 to 24 April 2016 (2016-W16)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Confirmed","Patient database","07 to 13 April 2014 (2014-W15)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Confirmed","Situation report","27 April to 03 May 2015 (2015-W18)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","","Number of cases","Probable","Patient database","27 April to 03 May 2015 (2015-W18)","New","Data package 2016-05-11","","","10","10.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Patient database","11 to 17 January 2016 (2016-W02)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Situation report","15 to 21 February 2016 (2016-W07)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Patient database","26 January to 01 February 2015 (2015-W05)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Probable","Patient database","03 to 09 March 2014 (2014-W10)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Situation report","05 to 11 January 2015 (2015-W02)","New","Data package 2016-05-11","","","9","9.00000","","",""
"Sierra Leone","","","BO","Number of cases","Probable","Patient database","24 February to 02 March 2014 (2014-W09)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Situation report","02 to 08 March 2015 (2015-W10)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Confirmed","Situation report","28 September to 04 October 2015 (2015-W40)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Confirmed","Situation report","12 to 18 May 2014 (2014-W20)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Patient database","31 March to 06 April 2014 (2014-W14)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Confirmed","Patient database","17 to 23 August 2015 (2015-W34)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Confirmed","Patient database","27 October to 02 November 2014 (2014-W44)","New","Data package 2016-05-11","","","15","15.00000","","",""
"Sierra Leone","","","","Number of cases","Probable","Patient database","12 to 18 May 2014 (2014-W20)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","","Number of cases","Probable","Situation report","06 to 12 April 2015 (2015-W15)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Probable","Patient database","11 to 17 August 2014 (2014-W33)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KENEMA","Number of cases","Probable","Patient database","28 December 2015 to 03 January 2016 (2015-W53)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KONO","Number of cases","Probable","Situation report","10 to 16 February 2014 (2014-W07)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BONTHE","Number of cases","Probable","Situation report","20 to 26 January 2014 (2014-W04)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BO","Number of cases","Probable","Patient database","22 to 28 December 2014 (2014-W52)","New","Data package 2016-05-11","","","13","13.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Confirmed","Situation report","01 to 07 February 2016 (2016-W05)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BONTHE","Number of cases","Probable","Patient database","18 to 24 May 2015 (2015-W21)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","","Number of cases","Confirmed","Situation report","09 to 15 February 2015 (2015-W07)","New","Data package 2016-05-11","","","96","96.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Patient database","26 May to 01 June 2014 (2014-W22)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Confirmed","Situation report","21 to 27 April 2014 (2014-W17)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BONTHE","Number of cases","Confirmed","Situation report","15 to 21 February 2016 (2016-W07)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KENEMA","Number of cases","Probable","Patient database","17 to 23 March 2014 (2014-W12)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Confirmed","Situation report","06 to 12 October 2014 (2014-W41)","New","Data package 2016-05-11","","","4","4.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Probable","Patient database","20 to 26 January 2014 (2014-W04)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Confirmed","Situation report","22 to 28 February 2016 (2016-W08)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Confirmed","Patient database","06 to 12 January 2014 (2014-W02)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BO","Number of cases","Probable","Situation report","16 to 22 November 2015 (2015-W47)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","","Number of cases","Confirmed","Patient database","02 to 08 March 2015 (2015-W10)","New","Data package 2016-05-11","","","92","92.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Situation report","21 to 27 September 2015 (2015-W39)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Confirmed","Situation report","24 February to 02 March 2014 (2014-W09)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BONTHE","Number of cases","Probable","Patient database","21 to 27 July 2014 (2014-W30)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Confirmed","Patient database","03 to 09 February 2014 (2014-W06)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Probable","Patient database","02 to 08 November 2015 (2015-W45)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KENEMA","Number of cases","Confirmed","Situation report","07 to 13 July 2014 (2014-W28)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Confirmed","Situation report","17 to 23 March 2014 (2014-W12)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KONO","Number of cases","Confirmed","Patient database","22 to 28 December 2014 (2014-W52)","New","Data package 2016-05-11","","","93","93.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Situation report","18 to 24 April 2016 (2016-W16)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Confirmed","Situation report","01 to 07 December 2014 (2014-W49)","New","Data package 2016-05-11","","","24","24.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Patient database","23 to 29 March 2015 (2015-W13)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Situation report","21 to 27 December 2015 (2015-W52)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Probable","Patient database","16 to 22 February 2015 (2015-W08)","New","Data package 2016-05-11","","","1","1.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Probable","Patient database","13 to 19 July 2015 (2015-W29)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","","Number of cases","Confirmed","Situation report","25 to 31 January 2016 (2016-W04)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Probable","Situation report","17 to 23 March 2014 (2014-W12)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Patient database","27 October to 02 November 2014 (2014-W44)","New","Data package 2016-05-11","","","1","1.00000","","",""
"Sierra Leone","","","KENEMA","Number of cases","Confirmed","Situation report","22 to 28 June 2015 (2015-W26)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Patient database","12 to 18 October 2015 (2015-W42)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Probable","Situation report","07 to 13 July 2014 (2014-W28)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Confirmed","Situation report","02 to 08 March 2015 (2015-W10)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Confirmed","Patient database","02 to 08 June 2014 (2014-W23)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Confirmed","Patient database","01 to 07 December 2014 (2014-W49)","New","Data package 2016-05-11","","","62","62.00000","","",""
"Sierra Leone","","","BONTHE","Number of cases","Confirmed","Situation report","10 to 16 November 2014 (2014-W46)","New","Data package 2016-05-11","","","1","1.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Probable","Situation report","05 to 11 January 2015 (2015-W02)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Probable","Patient database","28 April to 04 May 2014 (2014-W18)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Probable","Situation report","21 to 27 December 2015 (2015-W52)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BONTHE","Number of cases","Confirmed","Patient database","07 to 13 March 2016 (2016-W10)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BONTHE","Number of cases","Probable","Situation report","27 April to 03 May 2015 (2015-W18)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Confirmed","Patient database","16 to 22 November 2015 (2015-W47)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Patient database","30 December 2013 to 05 January 2014 (2014-W01)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Confirmed","Patient database","28 July to 03 August 2014 (2014-W31)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Confirmed","Situation report","22 to 28 June 2015 (2015-W26)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Probable","Situation report","14 to 20 March 2016 (2016-W11)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Probable","Situation report","27 October to 02 November 2014 (2014-W44)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Situation report","02 to 08 November 2015 (2015-W45)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Confirmed","Situation report","16 to 22 June 2014 (2014-W25)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Situation report","23 to 29 March 2015 (2015-W13)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Patient database","28 April to 04 May 2014 (2014-W18)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Confirmed","Patient database","22 to 28 December 2014 (2014-W52)","New","Data package 2016-05-11","","","55","55.00000","","",""
"Sierra Leone","","","","Number of cases","Probable","Situation report","03 to 09 March 2014 (2014-W10)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","BONTHE","Number of cases","Probable","Situation report","09 to 15 March 2015 (2015-W11)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Confirmed","Situation report","10 to 16 November 2014 (2014-W46)","New","Data package 2016-05-11","","","102","102.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Situation report","03 to 09 August 2015 (2015-W32)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Confirmed","Patient database","03 to 09 March 2014 (2014-W10)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Patient database","07 to 13 April 2014 (2014-W15)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Situation report","28 December 2015 to 03 January 2016 (2015-W53)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KONO","Number of cases","Probable","Situation report","02 to 08 June 2014 (2014-W23)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Confirmed","Patient database","07 to 13 July 2014 (2014-W28)","New","Data package 2016-05-11","","","2","2.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Situation report","07 to 13 April 2014 (2014-W15)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA RURAL","Number of cases","Confirmed","Patient database","07 to 13 March 2016 (2016-W10)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Situation report","20 to 26 January 2014 (2014-W04)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Patient database","01 to 07 February 2016 (2016-W05)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Probable","Situation report","06 to 12 October 2014 (2014-W41)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Probable","Patient database","07 to 13 December 2015 (2015-W50)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Probable","Situation report","11 to 17 August 2014 (2014-W33)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Patient database","02 to 08 June 2014 (2014-W23)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BO","Number of cases","Probable","Situation report","28 September to 04 October 2015 (2015-W40)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Confirmed","Patient database","10 to 16 February 2014 (2014-W07)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Probable","Situation report","18 to 24 January 2016 (2016-W03)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Confirmed","Situation report","11 to 17 August 2014 (2014-W33)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KENEMA","Number of cases","Confirmed","Patient database","11 to 17 April 2016 (2016-W15)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Probable","Situation report","04 to 10 May 2015 (2015-W19)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAMBIA","Number of cases","Confirmed","Patient database","16 to 22 February 2015 (2015-W08)","New","Data package 2016-05-11","","","10","10.00000","","",""
"Sierra Leone","","","","Number of cases","Probable","Situation report","16 to 22 February 2015 (2015-W08)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Confirmed","Patient database","22 to 28 September 2014 (2014-W39)","New","Data package 2016-05-11","","","74","74.00000","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Situation report","12 to 18 January 2015 (2015-W03)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BONTHE","Number of cases","Probable","Patient database","02 to 08 June 2014 (2014-W23)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Situation report","10 to 16 February 2014 (2014-W07)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","WESTERN AREA URBAN","Number of cases","Probable","Situation report","08 to 14 June 2015 (2015-W24)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Situation report","25 April to 01 May 2016 (2016-W17)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Confirmed","Patient database","08 to 14 June 2015 (2015-W24)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KOINADUGU","Number of cases","Probable","Patient database","22 to 28 September 2014 (2014-W39)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Confirmed","Patient database","07 to 13 September 2015 (2015-W37)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Patient database","13 to 19 July 2015 (2015-W29)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Probable","Situation report","22 to 28 June 2015 (2015-W26)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","MOYAMBA","Number of cases","Confirmed","Situation report","27 July to 02 August 2015 (2015-W31)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KENEMA","Number of cases","Probable","Patient database","12 to 18 January 2015 (2015-W03)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BOMBALI","Number of cases","Probable","Situation report","12 to 18 October 2015 (2015-W42)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Patient database","18 to 24 May 2015 (2015-W21)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Confirmed","Situation report","16 to 22 November 2015 (2015-W47)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Confirmed","Situation report","01 to 07 December 2014 (2014-W49)","New","Data package 2016-05-11","","","76","76.00000","","",""
"Sierra Leone","","","KENEMA","Number of cases","Probable","Patient database","27 January to 02 February 2014 (2014-W05)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","PUJEHUN","Number of cases","Probable","Situation report","17 to 23 March 2014 (2014-W12)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KONO","Number of cases","Confirmed","Situation report","23 to 29 March 2015 (2015-W13)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","PORT LOKO","Number of cases","Probable","Situation report","23 to 29 November 2015 (2015-W48)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Probable","Situation report","07 to 13 July 2014 (2014-W28)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","","Number of cases","Confirmed","Situation report","24 February to 02 March 2014 (2014-W09)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Probable","Situation report","13 to 19 July 2015 (2015-W29)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","KAILAHUN","Number of cases","Probable","Patient database","18 to 24 August 2014 (2014-W34)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BONTHE","Number of cases","Confirmed","Situation report","02 to 08 March 2015 (2015-W10)","New","Data package 2016-05-11","","","0","0.00000","","",""
"Sierra Leone","","","BONTHE","Number of cases","Confirmed","Patient database","07 to 13 April 2014 (2014-W15)","New","Data package 2016-05-11","","","","","","",""
"Sierra Leone","","","TONKOLILI","Number of cases","Confirmed","Situation report","22 to 28 February 2016 (2016-W08)","New","Data package 2016-05-11","","","0","0.00000","","",""
